"id","ts_code","trade_date","open","high","low","close","pre_close","vol","amount"
2162040,"399300.SZ","2018-02-13",3925.5955,3986.9807,3925.5955,3935.6324,3890.1046,112565885.0000,144479354.3000
2162039,"399300.SZ","2018-02-14",3945.0943,3971.4041,3923.1267,3966.9614,3935.6324,71081338.0000,93110201.3000
2162038,"399300.SZ","2018-02-22",4020.9731,4058.7878,4009.9202,4052.7332,3966.9614,105811571.0000,138334361.7000
2162037,"399300.SZ","2018-02-23",4061.7545,4085.2008,4035.2319,4071.0889,4052.7332,99458746.0000,128195835.1000
2162036,"399300.SZ","2018-02-26",4093.3988,4128.7435,4048.9834,4118.4186,4071.0889,137881001.0000,179013093.6000
2162035,"399300.SZ","2018-02-27",4120.8712,4120.8712,4051.8054,4058.9806,4118.4186,125934470.0000,169684900.9000
2162034,"399300.SZ","2018-02-28",4016.7911,4051.7124,3991.7063,4023.6415,4058.9806,109343593.0000,152493909.2000
2162033,"399300.SZ","2018-03-01",3994.8686,4061.0328,3986.8947,4049.0863,4023.6415,110199852.0000,146003456.6000
2162032,"399300.SZ","2018-03-02",4014.9510,4044.4183,4006.9435,4016.4610,4049.0863,96165000.0000,130931181.2000
2162031,"399300.SZ","2018-03-05",4021.6575,4042.8346,3995.8715,4018.0970,4016.4610,87952548.0000,118197859.4000
2162030,"399300.SZ","2018-03-06",4034.9854,4067.5525,3998.9317,4066.5647,4018.0970,138762444.0000,171370654.1000
2162029,"399300.SZ","2018-03-07",4063.5028,4089.6964,4027.9363,4036.6536,4066.5647,106952426.0000,136572305.5000
2162028,"399300.SZ","2018-03-08",4038.9527,4078.2263,4029.7144,4077.6001,4036.6536,91155810.0000,123634637.1000
2162027,"399300.SZ","2018-03-09",4088.0704,4110.6738,4076.4537,4108.8652,4077.6001,113701808.0000,150024119.6000
2162026,"399300.SZ","2018-03-12",4130.7082,4139.5259,4112.7658,4127.6662,4108.8652,140906739.0000,190367593.7000
2162025,"399300.SZ","2018-03-13",4124.3312,4130.2829,4087.5629,4091.2533,4127.6662,111766430.0000,141174160.6000
2162024,"399300.SZ","2018-03-14",4076.0626,4089.0942,4066.4896,4073.3447,4091.2533,99013409.0000,131537959.3000
2162023,"399300.SZ","2018-03-15",4058.7058,4098.9890,4058.7058,4096.1627,4073.3447,88161156.0000,126882452.7000
2162022,"399300.SZ","2018-03-16",4096.8857,4110.0451,4055.8220,4056.4226,4096.1627,84896188.0000,122125342.0000
2162021,"399300.SZ","2018-03-19",4054.6167,4074.5180,4033.5216,4074.2479,4056.4226,81502882.0000,118183815.1000
2162020,"399300.SZ","2018-03-20",4045.7428,4080.1925,4040.3080,4077.7041,4074.2479,80605280.0000,111980234.0000
2162019,"399300.SZ","2018-03-21",4097.0243,4110.1158,4046.2408,4061.0502,4077.7041,97609488.0000,139330411.8000
2162018,"399300.SZ","2018-03-22",4062.0668,4072.3771,4003.7210,4020.3490,4061.0502,89095259.0000,127664337.9000
2162017,"399300.SZ","2018-03-23",3896.7359,3928.5114,3834.9373,3904.9355,4020.3490,180080449.0000,218905031.3000
2162016,"399300.SZ","2018-03-26",3862.6948,3883.9010,3829.9155,3879.8930,3904.9355,115139128.0000,156604527.2000
2162015,"399300.SZ","2018-03-27",3927.4920,3936.7780,3881.8726,3913.2689,3879.8930,113700711.0000,162291546.5000
2162014,"399300.SZ","2018-03-28",3865.0454,3907.2811,3835.8825,3842.7155,3913.2689,101494908.0000,155848951.0000
2162013,"399300.SZ","2018-03-29",3854.5914,3913.9578,3794.2617,3894.0498,3842.7155,116629066.0000,164996782.9000
2162012,"399300.SZ","2018-03-30",3893.7468,3915.3473,3879.2128,3898.4977,3894.0498,97512270.0000,137959280.4000
2162011,"399300.SZ","2018-04-02",3897.0052,3937.0183,3882.8856,3886.9189,3898.4977,111242666.0000,159356080.0000
2162010,"399300.SZ","2018-04-03",3850.1546,3878.1504,3839.9333,3862.4796,3886.9189,95137369.0000,132049936.1000
2162009,"399300.SZ","2018-04-04",3873.6267,3898.6126,3852.4958,3854.8625,3862.4796,88730609.0000,131593067.9000
2162008,"399300.SZ","2018-04-09",3851.9548,3870.6736,3827.4133,3852.9292,3854.8625,84105462.0000,118167273.5000
2162007,"399300.SZ","2018-04-10",3860.7225,3927.4247,3851.7957,3927.1729,3852.9292,106173722.0000,137941300.2000
2162006,"399300.SZ","2018-04-11",3934.1698,3958.7071,3924.9603,3938.3434,3927.1729,111933021.0000,139989290.6000
2162005,"399300.SZ","2018-04-12",3935.6730,3937.7837,3896.1789,3898.6354,3938.3434,82699490.0000,108075565.4000
2162004,"399300.SZ","2018-04-13",3920.7375,3929.9520,3866.1860,3871.1443,3898.6354,71544203.0000,98921826.9000
2162003,"399300.SZ","2018-04-16",3862.4738,3869.1560,3789.6121,3808.8630,3871.1443,99217770.0000,131566866.8000
2162002,"399300.SZ","2018-04-17",3812.8746,3822.6264,3745.4442,3748.6412,3808.8630,90610790.0000,126518751.9000
2162001,"399300.SZ","2018-04-18",3785.3059,3789.6591,3708.1068,3766.2820,3748.6412,106676706.0000,143077676.0000
2162000,"399300.SZ","2018-04-19",3774.7840,3824.0321,3767.7974,3811.8430,3766.2820,99054060.0000,127520121.5000
2161999,"399300.SZ","2018-04-20",3801.2075,3815.4440,3750.1033,3760.8543,3811.8430,99282925.0000,123550664.5000
2161998,"399300.SZ","2018-04-23",3754.6896,3787.3951,3735.1842,3766.3257,3760.8543,90356291.0000,111763031.4000
2161997,"399300.SZ","2018-04-24",3769.8787,3854.4292,3769.8787,3843.4886,3766.3257,114219525.0000,145700512.7000
